contract,option_type,strike,expiry,date,open,high,low,market_price,volume,vwap,transactions,underlying_price,T,moneyness,log_moneyness,lower_bound,upper_bound,violates_bounds,IV
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-13,7.0,7.28,6.3,6.7,422,6.526,387,298.8699951171875,0.2737850787132101,0.920132514112606,-0.08323758223247557,0.0,272.00479491865923,False,0.282944490167398
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-14,6.95,7.35,6.41,6.63,241,6.814,30,298.2099914550781,0.27104722792607805,0.9221689677739237,-0.081026809988331,0.0,272.0345848915143,False,0.27946625581543
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-15,7.0,7.0,5.45,6.1,102,5.9281,39,300.2300109863281,0.2683093771389459,0.9159643937545036,-0.08777778651056958,0.0,272.0643781269681,False,0.2794687156065781
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-18,6.1,6.9,6.1,6.26,377,6.7921,31,297.8399963378906,0.2600958247775496,0.9233145426446375,-0.07978531960233082,0.0,272.1537774124949,False,0.2748461259348944
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-19,6.38,6.38,5.77,6.05,228,6.095,121,298.9700012207031,0.25735797399041754,0.9198247278227484,-0.08357214032514594,0.0,272.183583701917,False,0.277298721014808
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-20,5.56,5.81,5.15,5.35,587,5.5162,82,302.25,0.2546201232032854,0.9098428453267163,-0.09448339182833072,0.0,272.21339325572467,False,0.27901924784074594
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-21,5.4,5.4,4.59,4.59,193,4.8379,78,304.989990234375,0.2518822724161533,0.9016689360482661,-0.10350785949859985,0.0,272.2432060742756,False,0.2751554525005153
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-22,4.16,4.25,3.65,3.82,373,3.8246,71,308.82000732421875,0.24914442162902123,0.8904863463437706,-0.11598750894293544,0.0,272.2730221579272,False,0.2738198771700603
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-26,3.7,3.95,3.39,3.95,658,3.7468,514,308.3299865722656,0.23819301848049282,0.8919015729128447,-0.11439949675861567,0.0,272.39231915069354,False,0.2807515518652178
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-27,3.71,3.75,3.44,3.62,1138,3.5658,1055,310.8500061035156,0.23545516769336072,0.8846710458433213,-0.12253940268369748,0.0,272.42215156521354,False,0.2841487895838023
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-28,3.5,3.51,3.3,3.43,967,3.4325,831,312.510009765625,0.2327173169062286,0.8799718134028519,-0.1278654022468954,0.0,272.4519872469804,False,0.2872848954321274
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-29,3.15,3.5,3.05,3.27,939,3.2478,537,312.05999755859375,0.2299794661190965,0.8812407939225366,-0.12642437152294927,0.0,272.481826196352,False,0.28220997765119665
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-06-01,3.4,4.05,3.4,4.0,477,3.8821,82,306.30999755859375,0.22176591375770022,0.8977832985924513,-0.1078265553998381,0.0,272.57136265367393,False,0.28197758343231577
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-06-02,3.55,3.75,3.05,3.05,690,3.4012,169,315.20001220703125,0.2190280629705681,0.872461895145401,-0.13643629904504304,0.0,272.60121467704346,False,0.2950625840410462
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-06-03,2.93,3.8,2.9,3.69,469,3.4635,85,310.260009765625,0.216290212183436,0.8863533531367419,-0.12063958944523052,0.0,272.6310699698074,False,0.29470819774783646
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-06-04,3.6,3.65,3.25,3.25,391,3.5037,270,311.2300109863281,0.2135523613963039,0.8835908822818515,-0.1237611263193698,0.0,272.6609285323239,False,0.28763006937340885
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-06-05,3.15,4.25,3.02,4.18,369,3.7641,85,307.3399963378906,0.2108145106091718,0.8947745274834457,-0.11118351704511621,0.0,272.690790364951,False,0.29845224818351024
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-06-08,3.84,5.0,3.2,4.78,714,4.1071,161,301.5400085449219,0.2026009582477755,0.9119851170894688,-0.09213160802180725,0.0,272.78039548707756,False,0.2906656486468709
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-06-09,4.9,8.2,4.9,7.29,9516,6.6701,850,290.54998779296875,0.1998631074606434,0.9464808520176263,-0.05500453884101206,0.0,272.8102704037289,False,0.28816334838569335
O:AAPL260821P00280000,put,280.0,2026-08-21,2026-05-11,9.81,10.0,9.15,9.55,81,9.6114,43,292.67999267578125,0.2792607802874743,0.9566762573695031,-0.04429023382191502,0.0,276.8896833913035,False,0.2707647756963691
O:AAPL260821P00280000,put,280.0,2026-08-21,2026-05-12,9.2,9.32,8.82,8.85,316,9.1864,144,294.79998779296875,0.27652292950034224,0.9497965115135539,-0.05150751573809101,0.0,276.9200083572827,False,0.2712734187239561
O:AAPL260821P00280000,put,280.0,2026-08-21,2026-05-13,9.0,9.0,7.55,7.83,249,7.9163,162,298.8699951171875,0.2737850787132101,0.9368621961873806,-0.06521907672979725,0.0,276.95033664445305,False,0.27539991766979444
O:AAPL260821P00280000,put,280.0,2026-08-21,2026-05-14,8.0,8.6,7.77,7.87,60,8.155,27,298.2099914550781,0.27104722792607805,0.9389356762789042,-0.0630083044856526,0.0,276.98066825317824,False,0.2738613401161222
O:AAPL260821P00280000,put,280.0,2026-08-21,2026-05-15,8.2,8.2,6.5,7.34,323,7.0813,69,300.2300109863281,0.2683093771389459,0.9326182918227673,-0.06975928100789118,0.0,277.0110031838221,False,0.27537188281917196
O:AAPL260821P00280000,put,280.0,2026-08-21,2026-05-18,7.67,8.35,7.45,7.8,799,7.8994,92,297.8399963378906,0.2600958247775496,0.9401020797836309,-0.061766814099652526,0.0,277.10202791090387,False,0.2753961308872354
O:AAPL260821P00280000,put,280.0,2026-08-21,2026-05-19,7.05,7.55,6.91,7.25,237,7.3555,164,298.9700012207031,0.25735797399041754,0.936548813783162,-0.0655536348224676,0.0,277.1323761328609,False,0.27188958745719305
